,Category,top10,top10_scores
319,hardware support security,"['kenneth pasiah', 'mohamed ibrahem', 'nora mcdonald', 'zoran duric', 'ilhan izmirli', 'paulo costa', 'shima mohebbi', 'kuochu chang', 'filipe veiga', 'david kepplinger']","[0.11103050819073805, 0.11019463300386795, 0.10107935721436755, 0.0988786514782852, 0.08867032427869441, 0.08219424460934271, 0.08219424460934271, 0.08161069809660317, 0.08110966835286007, 0.0804685827938629]"
320,malware detection,"['peggy brouse', 'md tanvir arafin', 'shima mohebbi', 'david binning', 'mohamed ibrahem', 'filipe veiga', 'jill nelson', 'lap fai craig yu', 'zhi tian', 'kuochu chang']","[0.12909944487358058, 0.12909944487358058, 0.11095057636234604, 0.09038769075777342, 0.08944271909999159, 0.08743717709783362, 0.07559289460184544, 0.06454972243679029, 0.06417479348158527, 0.05118678868853312]"
321,covert channel,"['david binning', 'zhi tian', 'ilhan izmirli', 'david kepplinger', 'kenneth pasiah', 'wenying ji', 'zoran duric', 'shima mohebbi', 'quentin sanders', 'pei dong']","[0.20874143036171652, 0.16209958752654577, 0.14834415399317927, 0.12821215295120647, 0.11707084930222886, 0.10954451150103321, 0.10741723110591493, 0.10676224188257434, 0.09635896983561455, 0.0892199473490941]"
322,synthetic biology,"['david lattanzi', 'ilhan izmirli', 'nora mcdonald', 'david kepplinger', 'omoche cheche agada', 'pei dong', 'shanjiang zhu', 'hoda hassan', 'robert simon', 'zoran duric']","[0.11186048511760378, 0.06599186700355683, 0.05425034622380048, 0.04990651285059496, 0.04631789371388385, 0.02604661305353116, 0.02368896848395671, 0.02285751604412472, 0.022727272727272724, 0.02090605025017727]"
323,chemical engineering,"['pilgyu kang', 'david binning', 'david lattanzi', 'md tanvir arafin', 'peggy brouse', 'ilhan izmirli', 'kenneth pasiah', 'david kepplinger', 'maryam parsa', 'hoda hassan']","[0.06900655593423542, 0.06533279434000337, 0.0642455733425024, 0.058321184351980436, 0.05832118435198043, 0.055273088038152625, 0.05089074999136403, 0.05016049165548453, 0.046423834544262965, 0.04594768006447692]"
324,bioadhesion,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
325,bio inspired materials,"['omoche cheche agada', 'nora mcdonald', 'david lattanzi', 'shima mohebbi', 'zhi tian', 'sai manoj pudukotai dinakarrao', 'mohamed ibrahem', 'kuochu chang', 'wenying ji', 'david kepplinger']","[0.07257819068541863, 0.06800640801679171, 0.06009623101612528, 0.052094639820676636, 0.04745789978762495, 0.046383865673706934, 0.03779644730092272, 0.03605061020500273, 0.035634832254989916, 0.031280562354492725]"
326,bioengineering,"['nora mcdonald', 'omoche cheche agada', 'quentin sanders', 'robert simon', 'shima mohebbi', 'hoda hassan', 'peggy brouse', 'pei dong', 'jill nelson', 'david kepplinger']","[0.16963778593599416, 0.1629376339780705, 0.12314862325949388, 0.10660035817780521, 0.10395749007806006, 0.08934271123648291, 0.08164965809277261, 0.08144629623753681, 0.07968190728895957, 0.07802743146408704]"
327,computer security,"['mohamed ibrahem', 'filipe veiga', 'maryam parsa', 'peggy brouse', 'sai manoj pudukotai dinakarrao', 'zhi tian', 'kuochu chang', 'quentin sanders', 'pei dong', 'jill nelson']","[0.22135943621178653, 0.12365484170737448, 0.08304547985373996, 0.07302967433402215, 0.06985354731356995, 0.06806764747811278, 0.060324208981374375, 0.05900757705937287, 0.054635836470815304, 0.05345224838248488]"
328,algorithms,"['maryam parsa', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka']","[0.04152273992686998, 0.011344607913018796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
329,computer model calibration,"['filipe veiga', 'shima mohebbi', 'omoche cheche agada', 'kenneth pasiah', 'mohamed ibrahem', 'jill nelson', 'david kepplinger', 'md tanvir arafin', 'shanjiang zhu', 'ilhan izmirli']","[0.07503126954482325, 0.06464774788800365, 0.04912754510304755, 0.042963587678107554, 0.04264014327112209, 0.03603749850782236, 0.035289233662029275, 0.030772872744833188, 0.02791771709053367, 0.023331648330687904]"
330,sequential monte carlo,"['ilhan izmirli', 'lap fai craig yu', 'filipe veiga', 'paulo costa', 'shima mohebbi', 'gregory stein', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah']","[0.0820763482746874, 0.07216878364870323, 0.019551547175144374, 0.01378294616049928, 0.01378294616049928, 0.012084206113070794, 0.0, 0.0, 0.0, 0.0]"
331,bayesian statistics,"['ilhan izmirli', 'kenneth pasiah', 'zhi tian', 'david lattanzi', 'omoche cheche agada', 'mohamed ibrahem', 'shima mohebbi', 'david binning', 'nora mcdonald', 'shanjiang zhu']","[0.12877196967909804, 0.07904150521752439, 0.07035627157549602, 0.062364806244454764, 0.06025435836007353, 0.05883484054145521, 0.054061162636295845, 0.04756514941544941, 0.047049056572954696, 0.04108890342409104]"
332,spatio temporal statistics,"['ilhan izmirli', 'david lattanzi', 'zhi tian', 'david binning', 'filipe veiga', 'david kepplinger', 'shanjiang zhu', 'shima mohebbi', 'gregory stein', 'kenneth pasiah']","[0.15540816132618782, 0.13684513787599334, 0.1296796700212366, 0.1252448582170299, 0.12115650656307653, 0.11752780687193926, 0.10143010324169742, 0.09964475909040273, 0.09360385805612209, 0.09105510501284467]"
333,spatial statistics,"['ilhan izmirli', 'david lattanzi', 'omoche cheche agada', 'kenneth pasiah', 'mohamed ibrahem', 'zhi tian', 'shima mohebbi', 'nora mcdonald', 'kuochu chang', 'wenying ji']","[0.14682263526971892, 0.07110681947099659, 0.06870053865727263, 0.06759088635889995, 0.0670820393249937, 0.06417479348158527, 0.06163920909019224, 0.05364417807858201, 0.04265565724044427, 0.04216370213557839]"
334,community informatics,"['jyh ming lien', 'omoche cheche agada', 'pei dong', 'nora mcdonald', 'maryam parsa', 'pilgyu kang', 'david lattanzi', 'hoda hassan', 'kenneth pasiah', 'robert simon']","[0.10369516947304253, 0.08361963274520866, 0.07053456158585983, 0.0652936142499189, 0.05360562674188974, 0.053121271525973054, 0.04327423224079154, 0.041265630706011525, 0.04113450348948636, 0.041030496993110906]"
335,information science,"['ilhan izmirli', 'gregory stein', 'zhi tian', 'hoda hassan', 'paulo costa', 'shima mohebbi', 'mohamed ibrahem', 'sai manoj pudukotai dinakarrao', 'jill nelson', 'david kepplinger']","[0.059940089850262016, 0.05295033822136559, 0.05239849945945728, 0.04152273992686998, 0.040262562778584934, 0.040262562778584934, 0.03651483716701107, 0.03584885719585766, 0.030860669992418377, 0.030219894260774968]"
336,socio technical systems,"['md tanvir arafin', 'jyh ming lien', 'david lattanzi', 'kenneth pasiah', 'shima mohebbi', 'pilgyu kang', 'paulo costa', 'gregory stein', 'shanjiang zhu', 'filipe veiga']","[0.058155263149904435, 0.05116980938544662, 0.04270853167636722, 0.04059677443835412, 0.03998381230100076, 0.03932013446879859, 0.03554116648977845, 0.035055830836541985, 0.033766096728781614, 0.03151017139191378]"
337,multi formalism modeling,"['shima mohebbi', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'kenneth pasiah', 'gregory stein', 'mohamed ibrahem']","[0.08269767696299568, 0.054126587736527426, 0.0413802944301184, 0.0410381741373437, 0.0397499205002385, 0.0392837100659193, 0.03910309435028875, 0.03778445413949088, 0.03625261833921238, 0.024999999999999998]"
338,command control,"['ilhan izmirli', 'filipe veiga', 'david lattanzi', 'zoran duric', 'david binning', 'quentin sanders', 'shanjiang zhu', 'omoche cheche agada', 'lap fai craig yu', 'sara lynn gopalkrishna']","[0.1482159533392281, 0.1280896972258538, 0.12686982103404226, 0.11356419064487448, 0.10694815798662466, 0.09403672569182174, 0.09238660214256646, 0.09193237486819689, 0.0909241209316635, 0.0892416116827342]"
339,system architectures,"['md tanvir arafin', 'lap fai craig yu', 'gregory stein', 'sai manoj pudukotai dinakarrao', 'david lattanzi', 'jyh ming lien', 'hoda hassan', 'pilgyu kang', 'wenying ji', 'jill nelson']","[0.18898223650461363, 0.157485197087178, 0.08438367882147811, 0.07498326453175641, 0.06939315030888374, 0.06928424943421166, 0.06617222226472869, 0.06388765649999399, 0.06172133998483676, 0.05532833351724882]"
340,algorithms theory computation,"['shima mohebbi', 'kenneth pasiah', 'peggy brouse', 'david binning', 'ilhan izmirli', 'maryam parsa', 'gregory stein', 'zoran duric', 'kuochu chang', 'zhi tian']","[0.08840753539361086, 0.06732213425535584, 0.06172133998483676, 0.05401697696268037, 0.043871653543059254, 0.04386640039647477, 0.03875567919966014, 0.03706246583305506, 0.03568828331861853, 0.02876383093774389]"
341,scheduling,"['filipe veiga', 'kenneth pasiah', 'ilhan izmirli', 'david lattanzi', 'gregory stein', 'omoche cheche agada', 'nathalia peixoto', 'paulo costa', 'shima mohebbi', 'zhi tian']","[0.05865464152543312, 0.05037927218598784, 0.0410381741373437, 0.026499947000158997, 0.02416841222614159, 0.019202384316064212, 0.016666666666666666, 0.01378294616049928, 0.01378294616049928, 0.008968700041677189]"
342,nanotechnology,"['quentin sanders', 'sai manoj pudukotai dinakarrao', 'wenying ji', 'filipe veiga', 'peggy brouse', 'mohamed ibrahem', 'kuochu chang', 'pei dong', 'jill nelson', 'shima mohebbi']","[0.15235690883400133, 0.12024072240843037, 0.11547005383792518, 0.09578262852211515, 0.09428090415820635, 0.08164965809277261, 0.07787821891933298, 0.07053456158585984, 0.06900655593423544, 0.06752237049095157]"
343,electronics,"['nathalia peixoto', 'maryam parsa', 'peggy brouse', 'ilhan izmirli', 'david lattanzi', 'kenneth pasiah', 'sean luke', 'pilgyu kang', 'david kepplinger', 'david binning']","[0.06324555320336758, 0.04152273992686998, 0.03651483716701107, 0.03460642701029913, 0.033520076157699544, 0.03186264939385831, 0.03162277660168379, 0.03086066999241838, 0.026171196129510684, 0.025565499628245683]"
344,intelligent sensor system,"['pilgyu kang', 'md tanvir arafin', 'gregory stein', 'wenying ji', 'sai manoj pudukotai dinakarrao', 'david lattanzi', 'jyh ming lien', 'mohamed ibrahem', 'david kepplinger', 'paulo costa']","[0.09944903161976937, 0.09805806756909202, 0.08209601434619876, 0.07472647177570732, 0.07225568167373791, 0.07201267534638961, 0.07189966356788136, 0.05661385170722979, 0.056224748459237514, 0.056182008241385174]"
345,chemical sensors,"['pilgyu kang', 'maryam parsa', 'david lattanzi', 'zhi tian', 'peggy brouse', 'gregory stein', 'david kepplinger', 'david binning', 'hoda hassan', 'kenneth pasiah']","[0.07436365992237534, 0.05836576777194363, 0.05384794615229616, 0.05011714595006315, 0.04399413450640599, 0.042971479909581146, 0.0420424211834425, 0.04106940690891316, 0.03851141912524667, 0.03838904379478573]"
346,intelligent robotics,"['gregory stein', 'sean luke', 'wenying ji', 'jyh ming lien', 'filipe veiga', 'david lattanzi', 'kenneth pasiah', 'mohamed ibrahem', 'sai manoj pudukotai dinakarrao', 'sara lynn gopalkrishna']","[0.07307840952418697, 0.056694670951384085, 0.05345224838248487, 0.048001536073731935, 0.044338741347410934, 0.04006415401075019, 0.03808315012473063, 0.03779644730092272, 0.03710709253896555, 0.031497039417435604]"
347,advanced manufacturing,"['david lattanzi', 'ilhan izmirli', 'filipe veiga', 'peggy brouse', 'sara lynn gopalkrishna', 'hoda hassan', 'pilgyu kang', 'wenying ji', 'jill nelson', 'quentin sanders']","[0.15612914293758204, 0.10074320393528012, 0.09359302196441381, 0.08503904055243744, 0.08438600664067966, 0.08374629801565386, 0.08085499530853878, 0.07811334658849432, 0.07780275551118465, 0.07558218714015169]"
348,sensors,"['pilgyu kang', 'david kepplinger', 'zhi tian', 'jyh ming lien', 'mohamed ibrahem', 'maryam parsa', 'gregory stein', 'wenying ji', 'jill nelson', 'paulo costa']","[0.14085904245475278, 0.09556369651349933, 0.08284930213349334, 0.07332355751067667, 0.05773502691896258, 0.05685735326841776, 0.05581455721859477, 0.054433105395181744, 0.048795003647426664, 0.04774552605594228]"
349,power engineering,"['ilhan izmirli', 'david binning', 'david kepplinger', 'david lattanzi', 'zoran duric', 'wenying ji', 'filipe veiga', 'shima mohebbi', 'kenneth pasiah', 'kuochu chang']","[0.17111005814483532, 0.1307664452414854, 0.11601594951373605, 0.11430251099085134, 0.10467600579705136, 0.10166571355506977, 0.10119828251105617, 0.10106522490322184, 0.09778565937214656, 0.09050969192832872]"
350,information retrieval,"['lap fai craig yu', 'omoche cheche agada', 'hoda hassan', 'nora mcdonald', 'zhi tian', 'sai manoj pudukotai dinakarrao', 'zoran duric', 'jill nelson', 'david kepplinger', 'paulo costa']","[0.14852213144650117, 0.13172726966270862, 0.10401019349846875, 0.10285801610441501, 0.09843963953377267, 0.08418534443883272, 0.07134772412317411, 0.05797710356524484, 0.05677329558036596, 0.05673013837490404]"
351,clinical informatics,"['omoche cheche agada', 'nora mcdonald', 'hoda hassan', 'sai manoj pudukotai dinakarrao', 'zhi tian', 'jill nelson', 'david kepplinger', 'kuochu chang', 'robert simon', 'quentin sanders']","[0.17002515864504109, 0.1517286483621763, 0.07191949522280762, 0.06209204205650662, 0.05672303956509398, 0.05345224838248488, 0.05234239225902137, 0.04825936718509951, 0.04767312946227961, 0.04720606164749829]"
352,information extraction,"['peggy brouse', 'pei dong', 'mohamed ibrahem', 'quentin sanders', 'gregory stein', 'zhi tian', 'ilhan izmirli', 'jill nelson', 'paulo costa', 'shima mohebbi']","[0.06123724356957946, 0.06108472217815261, 0.053033008588991064, 0.05277798139692595, 0.05126894452684975, 0.0507346289431841, 0.04836395203338355, 0.044821072850039764, 0.038984058779272523, 0.038984058779272523]"
353,information warfare,"['gregory stein', 'zhi tian', 'ilhan izmirli', 'paulo costa', 'mohamed ibrahem', 'sai manoj pudukotai dinakarrao', 'jill nelson', 'david kepplinger', 'shima mohebbi', 'shanjiang zhu']","[0.07565909770424546, 0.07219664266678343, 0.06117609802904955, 0.049311367272153794, 0.044721359549995794, 0.043905703995876136, 0.03779644730092272, 0.037011660509880265, 0.036983525454115346, 0.03513641844631532]"
354,cryptographic hardware,"['lap fai craig yu', 'hoda hassan', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'david kepplinger', 'pilgyu kang', 'zhi tian', 'robert simon', 'nora mcdonald']","[0.2738612787525831, 0.19178532059415365, 0.14573585026717806, 0.13693063937629155, 0.1315587028960544, 0.13085598064755344, 0.12344267996967352, 0.10210147121716917, 0.09534625892455922, 0.07586432418108816]"
355,c4i,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
356,remote sensing,"['filipe veiga', 'maryam parsa', 'kenneth pasiah', 'mohamed ibrahem', 'peggy brouse', 'pilgyu kang', 'jill nelson', 'sara lynn gopalkrishna', 'ilhan izmirli', 'david binning']","[0.09760722349103469, 0.045522315045576855, 0.041918088250877526, 0.04160251471689219, 0.03202563076101743, 0.027066598098038342, 0.023440361546924773, 0.02311250817605122, 0.02276388324670968, 0.02242242646654375]"
357,water resources engineering,"['david binning', 'shima mohebbi', 'pei dong', 'md tanvir arafin', 'pilgyu kang', 'wenying ji', 'ilhan izmirli', 'nora mcdonald', 'david kepplinger', 'zoran duric']","[0.16027412298198362, 0.08827894254679092, 0.08563015490681308, 0.06603381797442179, 0.059529346364854366, 0.05751081237516715, 0.0500661030800431, 0.04573128224392374, 0.04417305018374709, 0.042295493443781355]"
358,hydrology,"['david binning', 'pei dong', 'ilhan izmirli', 'nora mcdonald', 'peggy brouse', 'shima mohebbi', 'david lattanzi', 'shanjiang zhu', 'kenneth pasiah', 'sean luke']","[0.16502459049611243, 0.07053456158585984, 0.06701505774131555, 0.04897021068743918, 0.047140452079103175, 0.04501491366063438, 0.04327423224079155, 0.042766686606638946, 0.041134503489486364, 0.040824829046386304]"
359,environmental engineering,"['pilgyu kang', 'david kepplinger', 'md tanvir arafin', 'ilhan izmirli', 'shima mohebbi', 'david binning', 'zhi tian', 'paulo costa', 'omoche cheche agada', 'jyh ming lien']","[0.07824607964359515, 0.07741544216066654, 0.07715167498104596, 0.06580748031458888, 0.05893835692907391, 0.05401697696268037, 0.052733690052530466, 0.05157106231293967, 0.05132053079990982, 0.0509133174976598]"
360,land surface modeling,"['pilgyu kang', 'filipe veiga', 'david lattanzi', 'nora mcdonald', 'ilhan izmirli', 'david kepplinger', 'shima mohebbi', 'kuochu chang', 'md tanvir arafin', 'kenneth pasiah']","[0.11161033466795489, 0.08944172806140384, 0.08932612433757071, 0.07220263657073481, 0.06587220803475297, 0.06476082659683138, 0.06305232579954347, 0.062005591472359164, 0.06081670409998014, 0.0606495165995031]"
361,precipitation,"['david binning', 'shima mohebbi', 'nathalia peixoto', 'paulo costa', 'pei dong', 'jyh ming lien', 'robert simon', 'nora mcdonald', 'zhi tian', 'sean luke']","[0.3073181485764296, 0.23422899454273052, 0.20869967789998037, 0.1972454690886152, 0.19316685232156394, 0.17038855027411945, 0.16854996561581054, 0.16093253423574605, 0.16043698370396314, 0.15652475842498528]"
362,uncertainty analysis,"['david kepplinger', 'shanjiang zhu', 'ilhan izmirli', 'zhi tian', 'filipe veiga', 'peggy brouse', 'quentin sanders', 'david binning', 'kenneth pasiah', 'shima mohebbi']","[0.19970150062135186, 0.19956144669641657, 0.19457585755248047, 0.18224416709113872, 0.1787795261491357, 0.17597653802562396, 0.16114648991569266, 0.15401027590842437, 0.1535561751791429, 0.14003487302561574]"
