names,ProfileLinks,topics,citations,titles
Jessica Marie Otis,https://scholar.google.com//citations?hl=en&user=p-p_uNMAAAAJ,"History, Digital Humanities, History of Science, Mathematics",122,"Assistant Professor of History, George Mason University"
MIN-GYO JEONG,https://scholar.google.com//citations?hl=en&user=4bFJnoAAAAAJ,"Wireless Communication, Antenna Design",122,George Mason University
Shani E Ross,https://scholar.google.com//citations?hl=en&user=BCsUkXMAAAAJ,"neural engineering, neuroprosthesis, functional electrical stimulation, deep brain stimulation",120,"Associate Chair and Assistant Professor, George Mason University"
Michael Goodier,https://scholar.google.com//citations?hl=en&user=HZPOX2UAAAAJ,"Policing, Disorder and Crime, Place-Based Criminology, Evidence-Based Crime Policy",120,"Center For Evidence-Based Crime Policy, George Mason University"
Ben Seiyon Lee,https://scholar.google.com//citations?hl=en&user=2joBsfsAAAAJ,"Spatial Statistics, Spatio-temporal Statistics, Computer Model Calibration, Sequential Monte Carlo, Bayesian Statistics",120,George Mason University
Panneer Selvam Santhalingam,https://scholar.google.com//citations?hl=en&user=M9kzOUgAAAAJ,"mmWave, sensing, computer vision",119,PHD candidate at George Mason University
Hossein Fotouhi,https://scholar.google.com//citations?hl=en&user=jaPIdHIAAAAJ,"Transportation Engineering, Operations Research, Data Science, Transportation Resilience",118,George Mason University
Serdar Aldatmaz,https://scholar.google.com//citations?hl=en&user=fAUmagEAAAAJ,"Private Equity, Venture Capital, Initial Public Offerings, Law and Finance",118,"Assistant Professor of Finance, George Mason University"
Khondkar Islam,https://scholar.google.com//citations?hl=en&user=nr2d7qIAAAAJ,"Network Architecture, Distance Education, Learning Analytics",117,"Associate Professor of Information Sciences and Technology, George Mason University"
Marjan Saadati,https://scholar.google.com//citations?hl=en&user=h9nXCSQAAAAJ,"Deep Learning, Neuroimaging, Biomedical Signal Processing",117,George Mason University
Naren Kodali,https://scholar.google.com//citations?hl=en&user=Ooxr4acAAAAJ,"Surveillance, Multimedia Security",116,"Professor, George Mason University"
Sonwalkar Mukul,https://scholar.google.com//citations?hl=en&user=W_jufhoAAAAJ,"Geospatial Analysis, GIS, Mobile Application, Location Services",114,George Mason University
Emily Hamilton,https://scholar.google.com//citations?hl=en&user=npW9xfQAAAAJ,"Urban Economics, Economic Geography, Public Choice",114,Mercatus Center at George Mason University
Salim Furth,https://scholar.google.com//citations?hl=en&user=MyqLTMwAAAAJ,"Urban economics, development economics, macroeconomics",113,Mercatus Center at George Mason University
Christie Byers,https://scholar.google.com//citations?hl=en&user=e-OJmmMAAAAJ,"education theory and practice, research methods",113,George Mason University
Sanket S Shukla,https://scholar.google.com//citations?hl=en&user=b5m14WwAAAAJ,"Machine Learning, Malware detection, Hardware Security, Ontology",112,George Mason University
Maria Valdovinos Olson,https://scholar.google.com//citations?hl=en&user=R1HpI-0AAAAJ,"reentry, punishment, care, decarceration, policing",112,George Mason University
Sharon Doetsch-Kidder,https://scholar.google.com//citations?hl=en&user=ZbX5UKYAAAAJ,"intersectionality, social movements, mindfulness, antiracist feminist pedagogy, composition pedagogy",112,George Mason University
Ananya Sain Dhawan,https://scholar.google.com//citations?hl=en&user=pFpHEagAAAAJ,"machine learning, image processing, prosthetic control, gesture recognition, artificial intelligence",111,George Mason University
Alireza Chitsaz,https://scholar.google.com//citations?hl=en&user=W8_GqaEAAAAJ,"computational fluid dynamics, biofluid, cardiovascular disease",111,George Mason University
Siqi Ma,https://scholar.google.com//citations?hl=en&user=sV3z5xUAAAAJ,Environmental Pollution · Marine Emission …,110,George Mason university
Harold Geller,https://scholar.google.com//citations?hl=en&user=U1lKR_cAAAAJ,"astronomy, astrobiology, education",109,George Mason University
Moinul Hossain,https://scholar.google.com//citations?hl=en&user=qQicLcMAAAAJ,"IoT Security, Wireless Network Security, Spectrum Coexistence, Cognitive Radio, Wireless Communication",109,"Assistant Professor, Department of Cyber Security Engineering, George Mason University"
Rawan Alghofaili,https://scholar.google.com//citations?hl=en&user=5iCpo_8AAAAJ,,108,George Mason University
Kevin Petersen,https://scholar.google.com//citations?hl=en&user=atP02QkAAAAJ,"Criminology, Criminal Justice, Law and Society, Public Health, Sociology",108,"Doctoral Student, George Mason University"
Ioana Bouvier,https://scholar.google.com//citations?hl=en&user=9Xs7HMMAAAAJ,"Remote Sensing, Geography, Land Cover Change, Hydrology",107,George Mason University
Idée Edalatishams,https://scholar.google.com//citations?hl=en&user=oAw_2mYAAAAJ,"Corpus Linguistics, Pronunciation, Language Learner Identity",107,George Mason University
Aditi Priyamvara,https://scholar.google.com//citations?hl=en&user=oqXnz4oAAAAJ,Oral Health,106,George Mason University
Gil Heo,https://scholar.google.com//citations?hl=en&user=CH9IC0AAAAAJ,"GIS, Embedded Systems, Systems Software, HCI",105,"Center for Spatial Science and Systems, George Mason University"
Xiaozhou Huang,https://scholar.google.com//citations?hl=en&user=tpGpHCkAAAAJ,"Materials science, Electrochemistry, Lithium-oxygen batteries",105,"Ph. D. Candidate, George Mason University"
Pouyan Ahmadi,https://scholar.google.com//citations?hl=en&user=zAY5e08AAAAJ,"IoT Security, Wireless Communications, Modeling and Performance Evaluation, Engineering Education",104,"Assistant Professor,  Department of Information Sciences and Technology, George Mason …"
"Mona Mohammadifirouzeh, MSN, RN, PhD Candidate",https://scholar.google.com//citations?hl=en&user=5PDEMcwAAAAJ,"Stigma, Mental health, Immigrants, Health equity, Health disparity",104,"George Mason University, Virginia, USA"
Carol M Wong,https://scholar.google.com//citations?hl=en&user=SyaFbZkAAAAJ,,104,George Mason University
Char Miller,https://scholar.google.com//citations?hl=en&user=7VSa3bYAAAAJ,"political theory, cultural studies, algorithms, Ancient Greek",103,George Mason University
Tom Briggs,https://scholar.google.com//citations?hl=en&user=5ci9vpAAAAAJ,"Industrial-Organizational Psychology, Social Psychology, Computational Social Science, Complexity Science",101,George Mason University
Hadi El-Amine,https://scholar.google.com//citations?hl=en&user=_BsE_EoAAAAJ,"Operations Research, Healthcare",101,George Mason University
Frances Paris,https://scholar.google.com//citations?hl=en&user=lw60z5YAAAAJ,Applied Behavior Analysis,101,"Adjunct Faculty, George Mason University"
Alexander Monea,https://scholar.google.com//citations?hl=en&user=G89al2gAAAAJ,"Media Studies, Machine Learning, Artificial Intelligence, Big Data",100,George Mason University
Babak Aslani,https://scholar.google.com//citations?hl=en&user=s60m-LwAAAAJ,"Network Optimization, Multi-criteria Decision-making, Multi-objective Optimization, Machine Learning, Geospatial Data Science",100,"Department of Systems Engineering and Operations Research, George Mason University"
Olga Gkountouna,https://scholar.google.com//citations?hl=en&user=DclOQagAAAAJ,"Data Mining, Urban Analytics, Big Data, Data Bases, Privacy and Security",99,"Assistant Professor, George Mason University"
Kevin M. Flanagan,https://scholar.google.com//citations?hl=en&user=OkaXLewAAAAJ,"Film Studies, British Cinema, Architecture, Adaptation, Film and History",99,George Mason University
David Kepplinger,https://scholar.google.com//citations?hl=en&user=Tw5_yA8AAAAJ,"Robust Statistics, Statistical Methods for High-dimensional data",99,George Mason University
Ricardo F. Vivancos-Pérez,https://scholar.google.com//citations?hl=en&user=swyOruYAAAAJ,"Chicanx/Latinx Studies, Panhispanic Cultural Studies, Migration Studies, Gender & Sexuality Studies",99,"Associate Professor, George Mason University"
Alan R. Shark,https://scholar.google.com//citations?hl=en&user=JBZylyQAAAAJ,"Technology Leadership, policy, AI, public administration and management, social media",97,"Associate Professor, Schar School for Policy and Government, George Mason University"
Richard Kauzlarich,https://scholar.google.com//citations?hl=en&user=mDfA1WAAAAAJ,"Energy, South Caucasus, Peacekeeping, Azerbaijan, Balkans",97,"Distinguished Visiting Professor, Schar School of Policy and Government, George Mason …"
Hamed Sarvari,https://scholar.google.com//citations?hl=en&user=ybhE0WYAAAAJ,"Anomaly detection, Ensemble methods, Social network analysis",97,George Mason University
Haoteng Zhao,https://scholar.google.com//citations?hl=en&user=90ed8n0AAAAJ,,97,"Center for Spatial Information Science and Systems,George Mason University"
diego torrejon,https://scholar.google.com//citations?hl=en&user=9sJ4lCsAAAAJ,,96,George Mason University
Zhenyu Zhou,https://scholar.google.com//citations?hl=en&user=WxibXnYAAAAJ,"Condensed Matter Theory, quantum gases",95,"University of Pittsburgh, George Mason University"
Kimberley Daly,https://scholar.google.com//citations?hl=en&user=D4trgksAAAAJ,"International Baccalaureate, international schools, teacher education, human rights education",95,"Adjunct Professor, Teaching Culturally Lingustically Diverse and Exceptional Learners …"
Al Amin Hosain,https://scholar.google.com//citations?hl=en&user=ixTA3JIAAAAJ,"Machine Learning, Computer Vision, Video Understanding",95,Walmart; GMU
Kathryn M Kulbicki,https://scholar.google.com//citations?hl=en&user=4G-wG7oAAAAJ,,94,George Mason
John Orr,https://scholar.google.com//citations?hl=en&user=UhL4uuAAAAAJ,,93,George Mason University
James T. DeMarco,https://scholar.google.com//citations?hl=en&user=sfnVGqkAAAAJ,"nursing, empowerment",93,"Assistant Professor, George Mason University"
Hossein Ghaffari Nik,https://scholar.google.com//citations?hl=en&user=IM0-grEAAAAJ,"Control Theory, Robotics, Artificial Intelligence, Evolutionary Robotics, Swarm Robotics",92,George Mason University
Edgar Castro Mendez,https://scholar.google.com//citations?hl=en&user=kyh1aqwAAAAJ,"public economics, experimental economics and industrial …",92,Economics PhD student at George Mason University
Long Doan,https://scholar.google.com//citations?hl=en&user=BUoXUy0AAAAJ,"Natural Language Processing, NLP for Programming",91,George Mason University
Bryndan Lindsey,https://scholar.google.com//citations?hl=en&user=00YcS7QAAAAJ,"Biomechanics, Exercise Physiology, Musculoskeletal Rehabilitation",90,George Mason University
Amy Dezember,https://scholar.google.com//citations?hl=en&user=R1B-1ioAAAAJ,criminal justice,90,George Mason University
Yuriy Kim,https://scholar.google.com//citations?hl=en&user=eK4YpWkAAAAJ,"Virology, exosomes",90,"PhD candidate, George Mason University"
Daniel M. Rothschild,https://scholar.google.com//citations?hl=en&user=KQghC8YAAAAJ,,90,Mercatus Center at George Mason University
Xiaosheng Li,https://scholar.google.com//citations?hl=en&user=l13R87AAAAAJ,"Machine Learning, Data Mining, Time Series",90,George Mason University
Ahmed Bahjat,https://scholar.google.com//citations?hl=en&user=3A5c_nAAAAAJ,"Cybersecurity, Digital Forensics",89,George Mason University
Kelly Wentland,https://scholar.google.com//citations?hl=en&user=aGYGsmgAAAAJ,"tax, accounting, policy",89,"Assistant Professor of Accounting, George Mason University"
Megan Lavengood,https://scholar.google.com//citations?hl=en&user=FdFY-P4AAAAJ,"music theory, popular music, timbre, synthesizers",89,"Assistant Professor, George Mason University"
Ping Xu,https://scholar.google.com//citations?hl=en&user=jipCnYIAAAAJ,"Artificial Intelligence, Big Data, Signal Processing, Machine Learning",88,George Mason University
Mohamad Omar Nachawati,https://scholar.google.com//citations?hl=en&user=LQJ_8wIAAAAJ,"Decision Support Systems, Model-Driven Engineering, Symbolic Computation, Surrogate Optimization, Grey-Box Optimization",88,George Mason University
Yasas Senarath,https://scholar.google.com//citations?hl=en&user=jAhpeigAAAAJ,"Natural Language Processing, Social Computing, Web Intelligence",88,"Ph.D. Student, Information Sciences & Technology, George Mason University"
Daniel E. Ferguson,https://scholar.google.com//citations?hl=en&user=i4IGs3oAAAAJ,"literacy, curriculum, early childhood education, classroom materials, materiality",88,"Assistant Professor of Early Childhood Education, George Mason University"
Sylvia LR Schreiner,https://scholar.google.com//citations?hl=en&user=l2vTTVQAAAAJ,"syntax, morphology, semantics, language documentation & revitalization",88,George Mason University
Brittany N. Hupp,https://scholar.google.com//citations?hl=en&user=ccs81_MAAAAJ,"paleoceanography, paleoclimatology, micropaleontology, low-temperature geochemistry, sedimentology/stratigraphy",88,"Assistant Professor, George Mason University"
Ian Chesser,https://scholar.google.com//citations?hl=en&user=lZ_1Ri8AAAAJ,"Materials science, interfaces, atomistic simulation",88,"Postdoctoral Research Fellow, George Mason University"
Mariia Ivanchenko,https://scholar.google.com//citations?hl=en&user=jWe3BhgAAAAJ,nanomaterials,87,George Mason University
Mary Frances Nakamya,https://scholar.google.com//citations?hl=en&user=HchJ_98AAAAJ,"Chicken, broiler production, prevalence, extracellular vesicles, mitochondria",87,"Makerere University, Mississippi State University and George Mason University"
Matthew C. Baker,https://scholar.google.com//citations?hl=en&user=PNKPWXIAAAAJ,"Economics, Healthcare",86,George Mason University
Emily Behar,https://scholar.google.com//citations?hl=en&user=TdPfhYsAAAAJ,"Computational Geometry, Minkowski Sums, Penetration Depth, Motion Planning, Packing",86,George Mason University
